"keyid","workid","seqno","description","performed","qty","cost","price","sale","partno","hours_charged","hours_actual","hours_pay","version","taxdollars","part_labor","discountlevel","vendorcode","tax1","tax2","tax3","tax4","tax5","tax6","tax7","tax8","tax9","tax10","acctclass","category","staticamt","techsel","TechNum","partConfirm","partCommited","accessory","part_unique","Commission","package","Symptom","LongCode","ReqCode","sMfgCode","sTSBSymptom","sTSBCategory","sTSBSystem","sUpcCode","sPartsHier","QtyConfirmed","ConfirmNum","sTSBTitle","sWDLineCode","sAffGrpId","sCatPartType","fList","bPartOrdered"
190,80,1,"Replace automatic transmission shift cable","Remove and replace automatic transmission shift cable.  Road test vehicle.",0,0,0,0,,0,0,0,2,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,117,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
191,81,1,"Replace automatic transmission throttle valve cable","Remove and replace automatic transmission throttle valve cable. Road test vehicle.",0,0,0,0,,0,0,0,2,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,117,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
192,82,1,"Replace automatic transmission mount","Remove and replace automatic transmission mount.",0,0,0,0,,0,0,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,117,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
193,83,1,"Replace automatic transmission rear extension seal","Remove drive shaft to replace automatic transmission rear extension seal.  Reinstall drive shaft.  Inspect for leaks.  Road test vehicle.",0,0,0,0,,0,0,0,2,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,117,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
194,84,1,"Replace right side automatic transmission axle seal","Remove C.V. axle to replace right side automatic transmission axle seal.  Reinstall C.V. axle.  Inspect for leaks.  Road test vehicle.",0,0,0,0,,0,0,0,2,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,117,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
195,85,1,"Replace left side automatic transmission axle seal","Remove C.V. axle to replace left side automatic transmission axle seal.  Reinstall C.V. axle",0,0,0,0,,0,0,0,2,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,117,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
196,86,1,"Replace automatic transmission side cover gasket","Remove and replace automatic transmission side cover gasket.",0,0,0,0,,0,0,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,117,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
197,87,1,"Replace automatic transmission torque converter","Remove and replace automatic transmission torque converter.",0,0,0,0,,0,0,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,117,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
198,88,1,"Replace automatic transmission","Remove and replace automatic transmission with remanufactured transmission.  Flush transmission cooler and add fresh transmission fluid.  Inspect for leaks.  Road test for proper shift points and overall operation.",0,0,0,0,,0,0,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,117,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
199,89,1,"Replace automatic transmission flex plate","Remove and replace automatic transmission flex plate.  Road test vehicle.",0,0,0,0,,0,0,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,117,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
200,90,1,"Manual transmission fluid change","Drain and refill manual transmission fluid.  Inspect for leaks.  Check linkage for wear and proper operation.  Road test vehicle.",0,0,0,0,,0,0,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
201,91,1,"Flush clutch master cylinder and slave cylinder","Remove and replace clutch master cylinder and slave cylinder.",0,0,0,0,,0,0,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
202,92,1,"Replace clutch, pressure plate, and bearing","Remove transmission to gain access to install clutch, pressure plate, and bearing.  Reinstall transmission.  Perform all necessary adjustments and road test vehicle.",0,0,0,0,,0,0,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,149,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
203,93,1,"Replace clutch master cylinder","Remove and replace clutch master cylinder.",0,0,0,0,,0,0,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,149,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
204,94,1,"Replace clutch slave cylinder","Remove and Replace clutch slave cylinder.",0,0,0,0,,0,0,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,149,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
205,95,1,"Adjust clutch","Adjust clutch to manufacturers specifications.  Road test vehicle for proper operation.",0,0,0,0,,0,0,0,1,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,149,0,4,0,0,0,0,0,-1,0,,,,,,,,,,0,,,,,,0,FALSE
